"east","north","evi.mean","evi.sd","annual.evi.sd","inter.evi.sd","nat.fres","Urban","Industrial","Quarry","ArtificialVeg","Arable","PermanentCrops","Pasture","HeteroAg","Forest","Scrub","OpenGround","InlandWet","MaritimeWet","InlandWater","Marine"
125000,185000,0.507376307,0.092025898,0.098228587,0.013305261,324.1,0.0083,0,0.0045,0,0,0,0.3317,0.4433,0.1432,0.0197,0.0025,0.037,0,0.0099,0
125000,195000,0.493791056,0.091893503,0.124344466,0.012841838,335.1,0,0,0,0,0,0,0.3417,0.1055,0.0792,0.2368,0.2323,0.0016,0,0.0031,0
125000,205000,0.439123034,0.118057814,0.118343285,0.013578378,341.8,0.0029,0,0,0,0,0,0.303,0.0125,0.0031,0.2685,0.3532,0,0,0,0.0036
125000,225000,0.398104976,0.099674182,0.103270756,0.012930017,352.6,0.1417,0.0011,1e-04,0.0174,0,0,0.1539,0.0988,0.0041,0.0022,0.0065,0.2352,0.0028,0.0182,0.0012
125000,235000,0.355711437,0.196468427,0.105102073,0.017490802,335.8,0.0054,0,0,0,0,0,0.2439,0.1166,0.0398,0.0271,0,0.1825,0,0.3848,0
125000,245000,0.56013664,0.193220448,0.104288333,0.016978648,280.9,0.0088,0,0,0,0,0,0.7704,0.0458,0.0062,0.0064,0,0.0054,0,0.157,0
125000,255000,0.595479844,0.085434522,0.107836915,0.018486422,265.4,0.0022,0,0,0,0,0,0.9484,0.0066,0,0.0039,0,0.0388,0,1e-04,0
125000,265000,0.58791527,0.085850794,0.113446819,0.016439911,265.9,0.0014,0,0,0.0071,0.006,0,0.9305,0.0164,0.0053,0.0101,0,0.0236,0,0,0
125000,275000,0.568237251,0.099484864,0.101756316,0.015503849,262.9,0,0,0,0,0,0,0.8502,0.002,0,0.0252,0,0.1219,0,6e-04,0
125000,285000,0.545723983,0.100451412,0.099621888,0.018712515,268.3,0.0083,0,0,0.0024,0,0,0.7365,0.1216,0.0228,0.0151,0,0.0795,0,0.014,0
